"PopName" "Year" "Sex" "AgeGroup" "Population"
"347" "SchleswigHolstein" 2018 "m" 73 10443
"348" "SchleswigHolstein" 2018 "m" 74 13825
"349" "SchleswigHolstein" 2018 "m" 75 14151
"350" "SchleswigHolstein" 2018 "m" 76 13246
"351" "SchleswigHolstein" 2018 "m" 77 15725
"352" "SchleswigHolstein" 2018 "m" 78 15336
"353" "SchleswigHolstein" 2018 "m" 79 14597
"354" "SchleswigHolstein" 2018 "m" 80 12990
"355" "SchleswigHolstein" 2018 "m" 81 11380
"356" "SchleswigHolstein" 2018 "m" 82 9990
"357" "SchleswigHolstein" 2018 "m" 83 8610
"358" "SchleswigHolstein" 2018 "m" 84 7180
"359" "SchleswigHolstein" 2018 "m" 85 4666
"360" "SchleswigHolstein" 2018 "m" 86 3898
"361" "SchleswigHolstein" 2018 "m" 87 3477
"362" "SchleswigHolstein" 2018 "m" 88 3123
"363" "SchleswigHolstein" 2018 "m" 89 2570
"364" "SchleswigHolstein" 2018 "m" 90 7381
"365" "SchleswigHolstein" 2019 "f" 0 12060
"366" "SchleswigHolstein" 2019 "f" 1 12612
"367" "SchleswigHolstein" 2019 "f" 2 12713
"368" "SchleswigHolstein" 2019 "f" 3 13060
"369" "SchleswigHolstein" 2019 "f" 4 12594
"370" "SchleswigHolstein" 2019 "f" 5 12692
"371" "SchleswigHolstein" 2019 "f" 6 12260
"372" "SchleswigHolstein" 2019 "f" 7 12408
"373" "SchleswigHolstein" 2019 "f" 8 12197
"374" "SchleswigHolstein" 2019 "f" 9 12660
"375" "SchleswigHolstein" 2019 "f" 10 12346
"376" "SchleswigHolstein" 2019 "f" 11 13061
"377" "SchleswigHolstein" 2019 "f" 12 12939
"378" "SchleswigHolstein" 2019 "f" 13 12697
"379" "SchleswigHolstein" 2019 "f" 14 12829
"380" "SchleswigHolstein" 2019 "f" 15 13357
"381" "SchleswigHolstein" 2019 "f" 16 13542
"382" "SchleswigHolstein" 2019 "f" 17 13760
"383" "SchleswigHolstein" 2019 "f" 18 14288
"384" "SchleswigHolstein" 2019 "f" 19 15121
"385" "SchleswigHolstein" 2019 "f" 20 15019
"386" "SchleswigHolstein" 2019 "f" 21 15058
"387" "SchleswigHolstein" 2019 "f" 22 15051
"388" "SchleswigHolstein" 2019 "f" 23 15226
"389" "SchleswigHolstein" 2019 "f" 24 14652
"390" "SchleswigHolstein" 2019 "f" 25 14801
"391" "SchleswigHolstein" 2019 "f" 26 15096
"392" "SchleswigHolstein" 2019 "f" 27 15296
"393" "SchleswigHolstein" 2019 "f" 28 15658
"394" "SchleswigHolstein" 2019 "f" 29 16513
"395" "SchleswigHolstein" 2019 "f" 30 16248
"396" "SchleswigHolstein" 2019 "f" 31 16647
"397" "SchleswigHolstein" 2019 "f" 32 16456
"398" "SchleswigHolstein" 2019 "f" 33 16371
"399" "SchleswigHolstein" 2019 "f" 34 16032
"400" "SchleswigHolstein" 2019 "f" 35 16127
"401" "SchleswigHolstein" 2019 "f" 36 16489
"402" "SchleswigHolstein" 2019 "f" 37 17340
"403" "SchleswigHolstein" 2019 "f" 38 17359
"404" "SchleswigHolstein" 2019 "f" 39 17837
"405" "SchleswigHolstein" 2019 "f" 40 16928
"406" "SchleswigHolstein" 2019 "f" 41 16788
"407" "SchleswigHolstein" 2019 "f" 42 16873
"408" "SchleswigHolstein" 2019 "f" 43 17064
"409" "SchleswigHolstein" 2019 "f" 44 16562
"410" "SchleswigHolstein" 2019 "f" 45 16546
